project__PROJECT_NUMBER,project__AGENCY_FULL_NAME,agency_index__aid,project__PROJECT_OBJECTIVE,project__PROJECT_TITLE,project__PROJECT_START_DATE,project__PROJECT_END_DATE,investigator_data__name,institution_data__INSTITUTION_NAME,institution_data__INSTITUTION_CITY,states__states_abbrv,institution_data__INSTITUTION_STATE,institution_data__INSTITUTION_COUNTRY,institution_index__inst_id,investigator_index__inv_id
5U01AI058935-13,National Institute of Allergy and Infectious Diseases,22,"Diarrheal disease is the second most common cause of death among children under five years of age globally, and infectious diarrhea is the second leading cause of global morbidity. Vibrio cholerae causes severe secretory diarrhea in humans, and is a prototypical mucosal infection that does not invade the intestinal epithelium; V. cholerae infection thus serves as an excellent model for the study of mucosal immunity and vaccination. Unfortunately, protective immunity following cholera is not currently understood, and available cholera vaccines either fail to produce full protective efficacy or induce less than optimal and relatively short-lived immune responses that fall to baseline within 6-36 months of vaccination. This is in comparison to natural infection with V. cholerae that induces protective immunity that lasts for 3-10 years. Serum vibriocidal and other serum antibody responses wane within 6-12 months of infection, suggesting that these current immunologic markers cannot be used as correlates of longer-term protective immunity. We have data to suggest that memory B cell responses to T-dependent protein antigens develop following V. cholerae infection and persist for at least one year, while memory B cell responses to a T-independent antigen, LPS, develop following cholera, but appear to wane by 9-12 months following infection. We have additional preliminary evidence of a CD4+ T helper cell response following V. cholerae infection, and we hypothesize that this response is necessary for the development and maintenance of B cell memory at the mucosal surface, that the T cell response may be qualitatively or quantitatively different between natural infection and cholera vaccination, and that these differences may explain the lessened efficacy of current vaccines for cholera and other mucosal infections. To address these questions, we propose five specific aims: (1) Characterize immune responses in blood following natural cholera, focusing on development and maintenance of memory B cell and T cell responses; (2) Evaluate mucosal innate and acquired immune responses following cholera using endoscopically obtained duodenal (EGD) samples, and correlate with responses seen in blood; (3) Assess innate and acquired immune responses early after exposure in household contacts to determine correlates of subsequent protective immunity to cholera; (4) Assess immune responses following cholera vaccination with the current killed oral rBS-WC cholera vaccine (synergizing with an on-going and separately funded cholera vaccine study), and compare responses to those following natural cholera; and (5) Evaluate host factors influencing susceptibility and immune responses to cholera. This proposal is built upon an on-going collaborative effort between researchers at the Massachusetts General Hospital-Harvard University and the ICDDR,B in Dhaka, Bangladesh.       RELEVANCE: Cholera affects 5-7 million individuals each year, killing over 100,000, globally. Identification of protective immunity against cholera could not only directly affect cholera vaccination strategies, but could be applicable to the development of improved vaccines against other mucosal pathogens.",Protecutive Immunity To Human Cholera In Bangladesh,2000,2015,"Calderwood, Stephen B. ",Massachusetts General Hospital,Boston,MA,26,1,106,1308
5U01AI058935-13,National Institute of Allergy and Infectious Diseases,22,"Diarrheal disease is the second most common cause of death among children under five years of age globally, and infectious diarrhea is the second leading cause of global morbidity. Vibrio cholerae causes severe secretory diarrhea in humans, and is a prototypical mucosal infection that does not invade the intestinal epithelium; V. cholerae infection thus serves as an excellent model for the study of mucosal immunity and vaccination. Unfortunately, protective immunity following cholera is not currently understood, and available cholera vaccines either fail to produce full protective efficacy or induce less than optimal and relatively short-lived immune responses that fall to baseline within 6-36 months of vaccination. This is in comparison to natural infection with V. cholerae that induces protective immunity that lasts for 3-10 years. Serum vibriocidal and other serum antibody responses wane within 6-12 months of infection, suggesting that these current immunologic markers cannot be used as correlates of longer-term protective immunity. We have data to suggest that memory B cell responses to T-dependent protein antigens develop following V. cholerae infection and persist for at least one year, while memory B cell responses to a T-independent antigen, LPS, develop following cholera, but appear to wane by 9-12 months following infection. We have additional preliminary evidence of a CD4+ T helper cell response following V. cholerae infection, and we hypothesize that this response is necessary for the development and maintenance of B cell memory at the mucosal surface, that the T cell response may be qualitatively or quantitatively different between natural infection and cholera vaccination, and that these differences may explain the lessened efficacy of current vaccines for cholera and other mucosal infections. To address these questions, we propose five specific aims: (1) Characterize immune responses in blood following natural cholera, focusing on development and maintenance of memory B cell and T cell responses; (2) Evaluate mucosal innate and acquired immune responses following cholera using endoscopically obtained duodenal (EGD) samples, and correlate with responses seen in blood; (3) Assess innate and acquired immune responses early after exposure in household contacts to determine correlates of subsequent protective immunity to cholera; (4) Assess immune responses following cholera vaccination with the current killed oral rBS-WC cholera vaccine (synergizing with an on-going and separately funded cholera vaccine study), and compare responses to those following natural cholera; and (5) Evaluate host factors influencing susceptibility and immune responses to cholera. This proposal is built upon an on-going collaborative effort between researchers at the Massachusetts General Hospital-Harvard University and the ICDDR,B in Dhaka, Bangladesh.       RELEVANCE: Cholera affects 5-7 million individuals each year, killing over 100,000, globally. Identification of protective immunity against cholera could not only directly affect cholera vaccination strategies, but could be applicable to the development of improved vaccines against other mucosal pathogens.",Protecutive Immunity To Human Cholera In Bangladesh,2000,2015,"Ryan, Edward T",Massachusetts General Hospital,Boston,MA,26,1,106,1332
5R21AI088450-02,National Institute of Allergy and Infectious Diseases,22,"Our long-term goal is to develop human vaccines for the prevention of diarrhea and/or HUS caused by E. coli O157:H7 and diarrhea by other pathogenic E. coli. In the currently proposed studies, we will screen the genome of E. coli O157:H7 to identify protective antigens that would become components of a human vaccine, and such approach can be used to protect against pathogenic E. coli infections without affecting commensal flora. The central hypothesis is that identification of protective antigens unique to O157:H7 is a viable approach for development of a vaccine for prevention of diarrhea and Hemolytic Uremic Syndrome episodes. Progress in recent years identifying E. coli O157:H7 novel virulence factors suggest that they can become useful components of a vaccine candidate. Of particular note are those proteins expressed on the bacterial membranes or secreted to the extracellular milieu, which have been previously associated with virulence traits. Therefore, it is plausible to propose that E. coli O157:H7-specific genes can become excellent candidates as components of vaccines. Our proposed experimental approach will focus on two specific aims: Identify the O157-specific gene sequences of E. coli O157:H7 and use them to generate a library of expression constructs optimized for vaccine screening; and determine the protective capacity of O157-specific gene sequence using a murine model of E. coli O157:H7 infection, to identify a subset of subunit vaccine candidates. Our proposal is significant because it is expected to provide the basic knowledge needed to develop an optimal vaccine that will be used to prevent infections caused by E. coli O157:H7, a category B pathogen for its potential use as biothreat agents in food and agriculture, and eventually to treat infections caused by other related pathogenic E. coli strains.",E. Coli O157:  H7 Vaccine Development,2011,2014,"Torres, Alfredo G",University of Texas Medical Br Galveston,Galveston,TX,51,1,-1,3933
5R37AI016935-28,National Institute of Allergy and Infectious Diseases,22,"Shigella species and enteroinvasive E. coli invade and multiply within intestinal epithelial  cells of their human host. The bacteria are able to spread directly to adjacent epithelial cells  and the invasion and resulting host inflammatory response cause the symptoms of dysentery, a  disease responsible for significant morbidity and mortality worldwide.   These invasive pathogens are able to rapidly adapt to the intracellular environment of the  host and acquire the essential nutrients for their survival. In particular, they must compete with  the host for the essential element iron. Shigella and pathogenic E. coli have multiple  mechanisms for iron acquisition. These include the synthesis and transport of low molecular  weight iron binding compounds called siderophores and transport of ferric iron, ferrous iron or  heme. One of the goals of this project is to define and more fully characterize these systems for  iron acquisition. In addition, we will determine the mechanism of regulation of expression of  these systems and determine how iron regulates a large number of genes within the bacterial  cells. We have shown that an iron-binding represser protein (Fur) and a small RNA (RyhB) are  involved in regulation of gene expression, including regulation of virulence genes. Microarray  analysis and genetic screens will be used to reveal the full spectrum of genes regulated by iron,  Fur, and RyhB in these pathogens. We have found that RyhB regulates the expression of a  number of genes, including virulence plasmid genes that encode invasion proteins and the type  III secretion apparatus, and chromosomal genes involved in acid resistance. These affects  appear to be the result of RyhB repression of the virulence gene transcription factor VirB and the  acid resistance regulator EvgAS. We will determine the mechanism by which RyhB controls the  expression of virB and evgAS. These studies will help define the global regulatory patterns that  allow Shigella to respond to the various environments that it encounters in the host such as the  acidity of the stomach and the low iron environment within host cells.",Iron Transport In Shigella And Pathogenic E.coli,1980,2013,"Payne, Shelley M.","University of Texas, Austin",Austin,TX,51,1,-1,1534
5U19AI090872-03,National Institute of Allergy and Infectious Diseases,22,"The incidence of foodborne disease due to Campylobacter jejuni remains very high woridwide. Serious disease sequelae can follow gastrointesfinal (Gl) infections with C. jejuni. The acute neuropathies Guillain Barre Syndrome (GBS) and Miller Fisher Syndrome (MFS) are autoimmune conditions associated with recent Campy/o/jacter infection. GBS is the worid's leading cause of acute neuromuscular paralysis. 5% of GBS patients die; 15-20% are left with life-long disability. Our long-term goal is to understand the mechanisms that initiate autoimmunity secondary to C.ye/un/infection. Our short-term goal in this proposal is to further develop murine models of GBS and MFS to allow understanding of how infection with particular C. jejuni strains leads to inifiafion of autoimmunity. Eariy work by our group showed that autoantibodies and neurological disease develop spontaneously in Non-Obese Diabefic (NOD) WT, NOD IL-10-/- and NOD B7-  2-1- mice after oral infection with C. jejuni strains from GBS patients. Some infected mice of all genotypes had autoreactive IgGI anfibodies directed against gangliosides GDI a and GM1 and displayed a neurological phenotype characteristic of motor neuron dysfunction with flaccid limbs. C57BL/6 IL-IO''- mice infected with a C. jejuni MFS strain developed neurological disease with tremors and asymmetric hind limb weakness. Mice colonized with human fecal samples validated in Area 1 have the potenfial to improve these murine models. Our overall hvpothesis is that murine model(s) with a humanized microbiome develop spontaneous autoimmune sequelae secondary to C. jejuni infecfion with strains with class A LOS. Our Specific Aims are to: (1) Characterize definitively the neurological signs and disease lesions associated with GBS and MFS in  murine models; (2) Determine whether autoimmune sequelae vary with C. jejuni LOS profiles and LOS genes; (3) Characterize the role of complement in C. ye/t/n/-induced MFS lesions; (4) Determine whether innate responses and adaptive responses mediate GBS and MFS in murine models; (5) Determine whether autoantibody or autoreactive T cells transfer the response to naive mice; and (6) Determine effects of (Hu) microbiota on murine host innate, adaptive and autoimmune responses in the presence and absence of three pathotypes of Campylobacter jejuni. These models can be used to dissect mechanisms of autoimmunity and to serve as treatment and prevention surrogates for GBS and MFS patients.",Campylobacter Jejuni Mediated Autoimmune Neuropathy In Hu-Microbiota Mouse Model,,,"Mansfield, Linda S.",Michigan State University,East Lansing,MI,27,1,111,1467
5K08AI091655-03,National Institute of Allergy and Infectious Diseases,22,"Currently, clear dietary recommendations for pregnant and breastfeeding mothers are lacking regarding allergy prevention in allergic or non-allergic families, although there is a great need to have firm evidence-based guidelines to advise families. Human studies to investigate the effect of strict food allergen avoidance, such as peanut, during pregnancy and lactation on the infant's risk towards development of food allergy are difficult to perform and potentially unethical. Animal studies have suggested that tolerance is induced by perinatal feeding of antigen. These studies have assessed naive mothers to assess risk of OVA-triggered asthma and peanut-allergic mothers to assess risk of peanut allergy. The novelty of this proposal is to assess mothers who are tolerant to the food in question, which is relevant to most of the humans. In the current proposal, we therefore aim to address the effect of feeding peanut during lactation on the offspring's predisposition toward allergic sensitization using an animal model of peanut allergy. We also aim to determine the potential mechanism of oral tolerance development provided via maternal milk. These animal studies will establish biological basis for maternal and infant feeding guidelines in order to address the increasing frequency of food allergies. Once basic mechanisms of this protection against or increased risk towards food allergy have been detected, the future studies could be performed in a human cohort of mothers who choose or do not choose to adhere to avoidance diets.    My immediate goal is to obtain intensive training in immunobiology and experimental models of food allergy to add to my skills in mucosal immunology and maternal-infant interface of immunity. As a long-term goal, I strive to pursue a career in translational research to utilize both my skills in basic research as well as patient care and with that would like to develop into an independent research investigator. The proposed career development activities are a combination of coursework and informal training that will strengthen my knowledge and research skills in immunobiology applied to oral tolerance development. The Pediatric Allergy and Immunology Division and The Immunology Institute Mount Sinai School of Medicine provide an excellent forum for these activities, which include informal interactions with the faculty as well as formal courses in immunobiology and biostatistics, journal clubs, seminars and work-in- progress presentations, as well as training in responsible conduct of research.       NARRATIVE: This research aims to solve a health concern of great public interest: should breastfeeding mothers avoid or eat potential food allergens in order to avoid development of food allergy in their children.",Role Of Breast Milk In Development Of Neonatal Oral Tolerance To Foods,2011,2016,"Jarvinen-Seppo, Kirsi ",Albany Medical College,Albany,NY,37,1,-1,-1
5R01AI087808-03,National Institute of Allergy and Infectious Diseases,22,"The ultimate goal of this application is to identify the host signaling pathways targeted by the type III secretion system 1 (T3SS1) of the gram-negative bacterium Vibrio parahaemolyticus; a major agent responsible for gastroenteritis outbreaks associated with the consumption of contaminated seafood. The prevalence of V. parahaemolyticus in the environment and incidence of infection have been linked to rising water temperatures caused by global warming. A T3SS is a needle-like structure that efficiently translocates virulence factors from bacteria into the cytosol of a host cell. The virulence factors (also called bacterial effectors) have evolved in a manner similar to many of the viral oncogenes; a eukaryotic activity is usurped and modified by the pathogen for its own advantage. Genomic sequencing of V. parahaemolyticus revealed the existence of two pathogenicity islands that encode both a T3SS and putative effectors. The first pathogenicity island contains T3SS1 and is associated with a cytotoxicity, while the second pathogenicity island contains T3SS2 and is associated with an enterotoxicity. The effectors on the first pathogenicity island have been identified as open reading frames with no obvious homology to any known protein. Recently, we have demonstrated that the V. parahaemolyticus uses T3SS1 to orchestrate a multifaceted host cell infection by induction of autophagy, cell rounding and then cell lysis. We have shown one of the T3SS1 effectors, VopS, utilizes a novel posttranslational modification called AMPylation to disrupt host signaling. Herein, we propose Specific Aims to study the multifaceted death induced by T3SS1 by identifying the activity and host targets of three known effectors, identify other effectors secreted by T3SS1 and characterize the host signaling pathways that are disrupted by V. parahaemolyticus during infection. These studies provide molecular insight into the molecular mechanisms used by this harmful gastrointestinal bacterial pathogen V. parahaemolyticus.      PUBLIC HEALTH RELEVANCE: The gram-negative bacterium Vibrio parahaemolyticus is a major agent responsible for gastroenteritis outbreaks associated with the consumption of contaminated seafood. The prevalence of V. parahaemolyticus in the environment and incidence of infection have been linked to rising water temperatures caused by global warming. Genomic sequencing of the marine bacterium V. parahaemolyticus revealed the existence of two pathogenicity islands that encode both a type III secretion system (T3SS) and putative effectors. Herein, we propose Specific Aims to study the multifaceted death induced by T3SS1 by identifying the activity and host targets of three known effectors, identify other effectors secreted by T3SS1 and characterize the host signaling pathways that are disrupted by V. parahaemolyticus during infection.",Analysis Of An Orchestrated Cell Death Mediated By Vibrio Parahaemolytics T3SS1,2010,2015,"Orth, Kim ",Ut Southwestern Medical Center,Dallas,TX,51,1,-1,4899
1R21AI098701-01,National Institute of Allergy and Infectious Diseases,22,"It is becoming increasingly recognized that the therapy of infectious diseases is facing twin threats. On the one hand antibiotic and antiviral resistance is rising rapidly; on the other there are relatively few novel compounds under development or entering the clinic. One promising set of compounds are the cationic host defense (antimicrobial) peptides, that collectively have anti-biofilm, antimicrobial and immunomodulatory activities and are naturally produced by virtually all complex organisms ranging from plants and insects to humans as a major component of their innate defenses against infection. Our research has been instrumental in delivering, to clinical trials, both topicl antimicrobials and selectively immunomodulatory innate defense regulator (IDR) peptides; however these trials did not explore the full potential of these molecules. Recently we demonstrated that some of these peptides suppress the formation of biofilms by a number of serious Gram negative bacterial infections. Here we are pursuing this strategy as an adjunct to conventional antibiotic therapy. It is particularly relevant since bacteria causing infections ofte (60%) grow as biofilms that are specialized colonial structures that are highly resistant to conventional antibiotics. The objective here is this to suppress biofilm infection by highly resistant and dangerous pathogens, making these infections more susceptible to conventional antibiotics. Our major broad long term objective is thus to create badly needed new approaches to treating infections to overcome antibiotic resistance in the face of a dearth in new antibiotic discovery. Our Specific Aims, in large part based on preliminary data, are (1) identify peptides with optimized activities that are smaller and resistant to proteases, (2) test synergy with a variety of conventional antibiotics against organisms in the biofilm state, (3) understand the mechanism(s) of anti-biofilm activity and (4) characterize their activity in realistic models of infection. 1          PUBLIC HEALTH RELEVANCE: The antibiotic era, stemming from the deployment of penicillin, introduced arguably the most successful medicine of all time, impacting dramatically on life expectancy by decreasing childhood and adult deaths from infections, and enabling complex surgeries, transplantations and cancer chemotherapy. The therapy of bacterial infectious diseases is now under severe threat due to an explosion of multiple antibiotic resistance, and a declining rate of discovery of new antibiotics. This proposal will directly address this serious public health issue by developing novel strategies and drugs to deal with recalcitrant resistant Gram-negative pathogens.",Novel Adjunctive Therapy For Drug Resistant Gram-Negative Pathogens,2012,2013,"Hancock, Robert Ernest William",University of British Columbia,Vancouver,BC,-1,32,1418,5652
5F32GM097955-02,National Institute of General Medical Sciences,93,"The critical biological functions of membranes depend on their phospholipid composition. Consequently, bacteria maintain a nearly constant ratio of major membrane glycerophospholipids. Nevertheless, environmental signals can induce changes in the molar ratio of anionic to zwitterionic phospholipids, raising questions about the physiological roles of regulated changes in headgroup composition. The specific aims of this proposed research investigate whether regulated changes in phospholipid headgroup composition affect activities that involve macromolecular interactions with phospholipids in the Gram-negative pathogen Salmonella enterica using genetic and biochemical approaches. Aim 1 is to engineer Salmonella strains with adjustable phospholipid headgroup compositions. Aim 2 is to examine whether phospholipid composition affects the biochemical properties and sensing capabilities of PhoQ, an integral membrane sensor kinase that utilizes ligand-mediated interactions with anionic phospholipids to detect signals and to respond to low extracytoplasmic Mg2+, the presence of antimicrobial peptides, and acidic pH. Aim 3 is to investigate whether regulated changes in phospholipid composition mediate resistance to magainin 2, a cationic antimicrobial peptide that disrupts membranes to kill bacteria. Independent and parallel approaches will be adopted to address Aims 2 and 3: strains constructed in Aim 1 will be utilized for in vivo experiments, and reconstituted biochemical liposome systems will be utilized for in vitro experiments. Results from these proposed experiments will indicate whether regulated changes in phospholipid headgroup composition modulate the activities of an integral membrane sensor kinase or mediate resistance to a cationic antimicrobial peptide. Accomplishment of these aims will enable genetic investigations of alterations in phospholipid headgroup composition in a human pathogen and will illuminate novel physiological functions for an essential cellular component.      PUBLIC HEALTH RELEVANCE: Biological membranes form barriers around cells, enclose compartments, and contain molecules that have essential functions for life. This proposal aims to understand whether changes in the composition of the inner membrane of the pathogenic bacterium Salmonella enterica, which causes gastroenteritis and typhoid fever in humans, affect the ability of Salmonella to adapt to new environments and to resist killing by antimicrobial peptides. Results from this proposed research will provide an understanding of the regulated cellular changes that enable Salmonella to prosper in different locales and to cause disease.",Physiological Roles Of Regulated Changes In Membrane Phospholipid Composition,2011,2013,"May, John ",Yale University,New Haven,CT,8,1,263,5300
5P01DK035108-27,National Institute of Diabetes and Digestive and Kidney Diseases,24,"Constant exposure to harmless food antigens requires that intestinal immune responses are normally biased towards tolerance and development of regulatory T cells, yet infections with intestinal pathogens induce effector T cells and aggressive antimicrobial immune defenses. The mechanisms underlying the differential recognition of harmless food antigens and threatening microbial antigens, and the corresponding immune decision processes, are central to the understanding of mucosal immunity and its exploitation for preventive and therapeutic medical strategies such as vaccination and immunotherapy. The reprogramming from regulatory to effector T cells typically occurs in the context of inflammation initiated by innate recognition of conserved microbial molecules through Toll-like receptors and other innate sensors. However, the host mounts effective immune responses to certain enteric pathogens without mucosal inflammation. An important pathogen of this category is the protozoan parasite, Giardia, which is a major cause of diarrheal disease woridwide. It colonizes the lumen and epithelial surface of the small intestine, and activates effective mucosal immune defenses, but does not invade the mucosa or cause significant inflammation. The overall goal of our studies is to exploit Giardia as a model to elucidate the mechanisms that govern immune decisions in the intestinal tract in the absence of inflammation. The studies have the following Specific Aims: Aim 1. To determine the mechanisms of dendritic cell-dependent immune defense against Giardia. Aim 2. To define the mechanisms of G/ard/a-triggered colitis in suseptible hosts. Aim 3. To investigate the function of IL-17 in giardiasis. The proposed studies will generate important new insights into the immune processes and decisions that take place in the intestinal tract at the interface of local resident cells, innate immune cells, and professional immune cells of the T and B cell lineages in the context of a protozoan infection. Furthermore, the work will provide a basis for the rational design of improved strategies for treating and preventing giardiasis and possibly infection with other clinically important luminal pathogens. RELEVANCE (See instructions): Giardia lamblia, a NIAID/CDC Category B priority pathogen, is a major cause of diarrheal disease woridwide and the leading cause of waterborne disease in the United States. Giardia is highly contagious and a credible threat to public water supplies and health. New insights into immune defenses against the parasite will be important for designing improved treatment and prevention strategies against giardiasis.",Mucosal Responses To Minimally Invasive Pathogens,,,"Eckmann, Lars ",University of California San Diego,La Jolla,CA,6,1,-1,-1
