"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_MORE_INFO"	"project__PROJECT_OBJECTIVE"	"institution_data__INSTITUTION_NAME"	"institution_index__inst_id"	"agency_index__aid"	"comment"
"FS231020 (T01060)"	"A double blind placebo controlled parallel trial of soy isoflavones on markers of bone turnover in females in early menopause"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/t01060"	"2010"	"2014"	"Two hundred women within two years of the onset of the menopause will be recruited and randomised. Each participant will consume a snack bar containing 7.5g of isolated soy protein powder (Solcon F) with 33mg of isoflavones (given twice daily) or 7.5g of the isolated soy (extracted, isoflavone free) protein alone (given twice daily) as control. The bars will be provided to the participants in a box containing the number of soya bars required for the twelve weeks of treatment, plus 10 bars marked as reserves. The boxes and bars will only be identified by the randomisation number; neither the researchers nor participants will know if they have been allocated the active bar or the placebo until after completion of the study. Each participant will attend clinic four times. Participants will have their height, weight, waist measurement and blood pressure recorded during each visit and will provide fasting blood samples on the second, third and fourth visit. At the start and end of the study participants will also complete a flushing frequency questionnaire, which will be used to assess patient-reported hot flushes. Blood samples will be frozen and stored for batch analysis of serum isoflavones, with bone turnover assessed by measuring serum carboxyl-terminal telopeptide of type 1 collagen (CTX), a marker for bone resorption, and serum amino-terminal propeptide of type 1 collagen (P1NP), a marker for bone formation. To ensure the snack bars have measurable activity, markers of efficacy such as insulin resistance & cholesterol will also be collected for all participants."	"It is currently unclear whether the consumption of dietary phytoestrogens, such as isoflavones commonly found in soy, have positive or negative implications for human health overall. The safety of soy in women in the early menopause, when bone loss is greatest, is unknown. Previous studies have reported the consumption of soy as having a small positive effect on bone mineral density. However, it has been suggested that studies in this area have potential flaws in terms of the soy preparation used, the placebo used, the study population chosen and the bone measurement method employed. This project aims to determine whether soy isoflavones have an effect on markers of bone turnover in menopausal women and aims to be able to quantify the magnitude of that effect. It will enable the Agency to better assess the risks and benefits associated with the consumption of dietary phytoestrogens enabling appropriate advice to be provided to consumers."	"Hull York Medical School"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS231018 (T01057)"	"A double blind placebo controlled parallel trial of soy phytoestrogens in patients with compensated hypogonadism"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/t01057"	"2009"	"2014"	"This study is a parallel, double-blind, placebo-controlled trial. Two hundred and fifty patients with borderline or subclinical (without symptoms) hypogonadism will be recruited and given either a soy/isoflavone or soy/placebo containing product twice daily for three months. Each patient will provide two fasting blood samples which will be frozen and stored for batch analysis. Testosterone levels will be measured using tandem mass spectrometry and a breast ultrasound will be performed to see if there is any increase in the glandular component of the male breast during soy supplementation over the three month period."	"It is unclear if soy is affecting serum testosterone levels in men and there is concern over falling sperm counts in men, particularly those whose testosterone levels are already compromised. In 2003 The Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment (COT) noted that “Reports of hormonal effects in men from dietary soy or isoflavone supplementation are inconsistent, showing no or weak hormonal effects”. This proposal seeks to determine if soy protein containing the phytoestrogen isoflavone, given in daily divided doses, has any effect on testosterone levels in men who have borderline or subclinical (without symptoms) hypogonadism. This research will confirm whether soy may be clinically relevant in men with compromised gonadal function."	"University of Hull"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"T01033"	"Assessment of caffeine consumption, altered caffeine metabolism and pregnancy outcome"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/t01033"	"2003"	"2008"	"This study was carried out simultaneously in Leeds and Leicester. Each site recruited about 1500 pregnant women (3,000 in total). It was estimated that about 300 (10%) of the women will deliver low birth weight babies. Caffeine consumption during pregnancy was determined by measuring caffeine and its metabolites in urine and saliva, in conjunction with information from a specially designed caffeine assessment questionnaire and diet recalls."	"It has been suggested that higher caffeine intakes may carry an increased risk of both spontaneous miscarriage and low birth weight. However, previous research has been hampered by difficulties in obtaining accurate measurements of caffeine intake and assessment of individual differences in caffeine metabolism. This study is of importance as it links, for the first time, accurate estimates of caffeine intake, interindividual variations in caffeine metabolism and pregnancy outcome. The research should help to reduce uncertainties in the current risk assessment and provide a robust basis for the Agency's advice to pregnant women on caffeine consumption. Unlike much of the previous research into the possible effects of caffeine on reproductive health, this study is prospective. It includes biomarkers of caffeine intake and explores interindividual variations in caffeine metabolism. In addition it considered all sources of caffeine intake, not just tea and coffee."	"University of Leeds"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS241062 (T01063)"	"Brominated compounds: determination of levels of brominated chemicals in a human population"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/fs241062"	"2011"	"2015"	"The aim of the project is to investigate the distribution of brominated chemicals in adipose tissue of morbidly obese patients and a comparative control population. Samples of blood, liver and adipose tissue are analysed. The secondary outcome will be to determine whether bariatric surgery-induced weight loss causes an increase in tissue concentrations of brominated compounds. The results will allow the risk assessment process for the obese population to be refined. The obese patients undergoing weight loss surgery (gastric band surgery) have been recruited, who will provide tissue samples during surgery. Follow up blood samples are being taken 3, 6, 9 and 12 months after surgery. Each participant will also complete a simple food diary and have their weight loss and change of body composition monitored. Non-obese patients undergoing minor gastric/abdominal surgery are being recruited as controls. Measurement of levels of brominated compounds in liver, adipose tissue and blood samples has been performed using high resolution mass spectrometry. The final data will be analysed to identify the change in brominated compounds levels over time associated with loss of body weight/change in lean body mass, together with the load of brominated chemicals in subcutaneous adipose tissue before and after weight loss."	"Brominated chemicals are used widely and applications include flame retardants in office products (computers, for example), and soft furnishing (upholstery, for example). While some flame retardants are decreasing in use due to restricting regulations, the use of other replacement brominated flame retardants is still increasing. These compounds persist in the environment and several have been added to the list of Stockholm persistent organic pollutants (ie based on the 2001 Stockholm Convention). They persist in human and animal tissue and have been reported to show various biological effects. The results of this study are meant to provide insights on toxicodynamics of the distribution of brominated chemicals in adipose tissue of obese and non-obese patients, characterise burden of contaminants in liver and adipose tissue and relationship with blood levels."	"The University of Hull"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"FS231010 (T01054)"	"Determination of the symptoms of aspartame in subjects who have previously reported symptoms compared to controls: a pilot double blind placebo crossover study"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/fs231010"	"2009"	"2014"	"This double blind placebo controlled pilot study aimed to record any effects from eating a snack bar that may or may not contain aspartame, in a safe controlled clinical environment. The study recruited fifty individuals who report reactions, including (but not exclusively) headaches and nausea, after consuming aspartame and fifty individuals who normally consume foods containing aspartame without problems acted as controls. Subjects were asked to complete general health and wellbeing questionnaires, they also provided blood and urine samples. The samples were analysed to determine the effect of aspartame consumption on plasma and urinary metabolite profile. The data was assessed to determine the suitability of the product and the methodology in order to determine the feasibility and power required for an effective full scale study."	"A number of individuals reported adverse reactions after consuming food and drink containing aspartame. Whilst numerous research studies and risk assessments have shown aspartame can be consumed safely, individual reports of these reactions persist. Given this continuing anecdotal evidence, European regulatory authorities, including the Food Standards Agency, feel it’s appropriate to see if more can be found out about these alleged effects. This pilot study aimed to determine the feasibility and power required for an effective full scale study to address the concerns of the public."	"University of Hull"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"T01056"	"Development of a framework for evaluation and expression of uncertainties in hazard and risk assessment"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/t01056"	"2009"	"2010"	"This study aimed to address this requirement by developing and testing a framework for the qualitative expression of uncertainties. A review of existing approaches for qualitative evaluation of uncertainties in risk assessment was undertaken. The potential suitability of these approaches was evaluated, and the most promising combination of approaches was identified and incorporated into the framework. Forty experts were invited to provide a direct and thorough test of the applicability and usability of the identified framework using one of four case studies, based on previous COT statements. This was achieved as part of a workshop on evaluation and expression of uncertainties in risk assessment, held in conjunction with the COT’s annual out-of-town meeting."	"In 2007 The Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment (COT) published its report on variability and uncertainty in toxicology. The COT report concluded there was a need to develop a framework for the transparent expression of uncertainty in hazard characterisation which would enable COT, and other committees that perform toxicological evaluations, to improve communications to a wide range of stakeholders including the public with regards to the sources of variability and uncertainty in their risk assessments."	"The Food and Environment Research Agency (FERA)"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"T01040/41"	"Development of methods for the assessment of the health effects from mixtures of food additives"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/t01040-41"	"2006"	"2007"	"An in vivo 28-day study has been performed in rats as part of T01021, with BHT, CC, PG and TB tested as individual components and in mixtures. Gene expression analysis will be undertaken on liver samples from this study in order to assess whether gene expression changes induced by mixture exposures are similar to gene expression changes induced by individual additives. Based on the results of the in vivo studies outlined above, dose levels and parameters will be selected to be employed in in vitro rat and human liver studies, for comparison of in vitro and in vivo results for the rat, and to provide information on potential differences in response between rats and humans. A 28 day dietary administration study was performed in rats, with the four food additives tested individually, and as mixtures of pairs of additives and mixtures of all four additives. Gene expression analysis was undertaken on liver samples to assess whether changes in gene expression induced by mixture exposures were similar to gene expression changes induced by individual additives."	"T01040 & T01041 aimed to develop methods to assess the health effects of mixtures of four food additives: butylated hydroxytoluene (E321), curcumin (E100), propyl gallate (E310) and thiabendazole (E233); known to individually produce liver effects in animal studies. These particular additives were chosen on the basis that the ILSI-Europe Acceptable Daily Intake Task Force had concluded combined actions or interactions might occur between them under experimental conditions. To assess whether there were any interactions the additives were tested individually and in various statistically determined combinations. These projects were a continuation of previous work performed in the FSA funded Project T01021. The aim is to test the additives both individually and in various statistically determined combinations, to assess whether there are any interactions between the chemicals. This project is a continuation of previous work performed in the FSA-funded project T01021 and will be performed in collaboration with project T01041. T01040 will focus on study design, analysis of gene expression and statistical analysis of results. T01041 will focus on conducting studies in rat and human liver cells. BHT, CC, PG and TB are known to produce liver effects in animal studies."	"TNO"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"T01013"	"Development of probabilistic models for describing individual intakes of chemical residues in food"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/t01013"	"1999"	"2001"	"This project did not consider contaminant levels in food but includes data on the consumption of Vitamin A (which is available in the Dietary and Nutritional Survey of British adults (1990)). The classical approach to estimate the within-individual and the between-individual components of variation separately is the analysis of variance (ANOVA) method used by Beaton. A more sophisticated procedure by Nusser can manage different types of statistical variability, intake values and between-person intake variability ranges and is able to process an array of distributions within the data. These two models were applied using data from different food groups: those whose consumption is fairly evenly distributed; those where it is slightly skewed; and those where consumption is very skewed. The project also considered whether 4-day food diary data could be used effectively rather than 7-day data."	"When there is a risk of chemical contaminants being found in food, e.g. mycotoxins or pesticide residues, it is important to know how frequently and in what amounts a person might be consuming that food. There is a need to develop a model that can estimate long-term intake from short-term data available, with a view for assessment of when it becomes likely that individuals may consume contaminants to a potentially hazardous level."	"BIBRA"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"T01048"	"Effect of cruciferous vegetable dietary intervention in humans on urinary metabonomic profile"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/t01048"	"2007"	"2007"	"The current project seeks to use these techniques to carry out additional urine analyses on archived urine samples collected as part of the dietary intervention trial carried out as part of the earlier project (T01009). Urine samples will be analysed using flow injection 1H NMR spectroscopy coupled to computer based pattern recognition. This should identify biomarkers that can be correlated with the consumption of well cooked meat together with cruciferous vegetables. Ultimately these data should make it possible to identify metabolic pathways modified by cruciferous vegetable intervention."	"There is a strong association between diet and cancer and notably with the consumption of well cooked red meat. Cooking of red meat or fish at high temperatures leads to the formation of heterocyclic amines, which have been found to cause cancer in laboratory animals. The most abundant of these compounds is 2-amino-1-methyl-6-phenylimidazo[4,5-b]pyridine (PhIP). Studies have shown that PhIP needs activation by metabolism before it exerts its harmful effects. Cruciferous vegetables (such as Brussels sprouts, cabbage, broccoli) are reported to protect against cancer by modifying the metabolism of carcinogens such as PhIP. Project T01009: Can cruciferous vegetables alter the genotoxicity of heterocyclic amines following human consumption of cooked meat? , set out to test this assumption. This was done by looking for PhIP metabolites found in urine samples collected from human volunteers who had eaten cooked burgers either after a cruciferous vegetable free period or after consuming cruciferous vegetables for 14 days. The project was able to demonstrate that dietary intervention with cruciferous vegetables modified the metabolic handling of PhIP and identified the need for further work. Since T01009 ended in 2002, advances in technology, and notably in metabonomics have made it possible to carry out detailed analysis of biofluids using nuclear magnetic resonance (NMR) and mass spectroscopy (MS) combined with sophisticated bioinformatic data analysis. These techniques have made it possible to identify metabolic changes due to disease, homeostasis or the administration of exogenous chemicals."	"Department of Biomolecular Medicine, Imperial College, London"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
"T01029"	"Evaluation of the existence of thresholds of genotoxic activity with respect to substances identified in food"	"http://www.food.gov.uk/science/research/foodcomponentsresearch/t01programme/t01projlist/t01029"	"2002"	"2005"	"The project is generating a database that collates information on genotoxic chemicals that may occur in food. These will be categorised by their mechanisms of genotoxic activity. Compounds with a potentially thresholded mechanism of action will then be subjected to further investigation. This will generate a priority list of compounds that will be subject to laboratory testing using in vitro models. In addition, experimental work will be carried out on a small number of chemicals that have already been identified as possibly meeting the criteria of acting via a threshold mechanism. Those selected are: bisphenol A, rotenone, fisetin and acrylamide. In addition, the project will include a study of whether exposure of mice to low levels of bisphenol A in vivo leads to an increase in abnormalities of oocyte meiosis leading to aneuploidy."	"Food may contain a number of genotoxic substances, present at very low levels as natural constituents or as a result of unavoidable contamination. Current UK policy is that it is prudent to assume a non-threshold dose response for chemicals that are genotoxic in vivo . The Committee on Mutagenicity of Chemicals in Food, Consumer Products and the Environment recently reviewed its general approach to risk assessment of in vivo mutagens and concluded that for certain substances (such as aneugens) it may be possible to identify potential threshold-related mechanisms of action. These mechanisms include DNA repair activity, compound detoxification and the existence of multiple targets for genotoxin interaction. Mechanistic and dose-response studies may support identification of a critical No Observed Adverse Effect Level (NOAEL), to which uncertainty factors could be applied in establishing a Tolerable Daily Intake (TDI)."	"University of Wales, Swansea"	"-1"	"65"	"Institution not in the DB; please collect information manually and populate in institution_data table."
