"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"agency_index__aid"	"investigator_data__name"	"institution_index__inst_id"	"investigator_index__inv_id"	"institution_data__INSTITUTION_NAME"
"R461"	"Detection of Potato Storage Diseases Using Field Asymmetric Ion Mobility Spectrometry"	"http://potatoes.ahdb.org.uk//publications/r461-detection-potato-storage-diseases-using-faims"	"2012"	"2015"	"Industry Challenge Storage diseases of potatoes cause major losses each year for the industry. Diseased potatoes and in particular those associated with bacterial soft rots release specific volatile compounds which if recognised would allow early detection and diagnosis, enabling store managers to initiate preventative measures. Early detection of Pectobacterium carotovorum in store is therefore extremely desirable if the disease is to be controlled and contained. Collaboration University of Warwick, FERA, Owlstone Nanotech and Sutton Bridge Crop Storage Research (SBCSR)  Approach This approach will also be investigated for detection of important quarantine diseases of potato in contained import consignments. Other sensors such as the latest electronic noses will also be assessed. The project will be multidisciplinary involving novel approaches to instrument engineering, volatile identification, data analysis and plant pathology. Objectives: a) Collect pathogen isolates and develop/adapt methodologies for artificial inoculation of potato tubers focussing on P. carotovorum but also including selected fungal pathogens and the quarantine pathogens Ralstonia. solanacearum and Clavibacter michiganensis. b) Develop and optimise methodology for recording volatile fingerprints over time for healthy and diseased potato tubers in controlled laboratory conditions using FAIMS and compare with other sensor technologies such as electronic nose. c) Determine the effect of environmental conditions on volatile release and detection. d) Identify characteristic volatiles for each disease using gas chromatography-mass spectrometry (GC-MS) and develop a database of FAIMS fingerprints associated with these target molecules. e) Develop intelligent systems analysis, such as neural networks and genetic algorithms to optimise FAIMS / electronic nose to improve recognition of the target signals. f) Determine the efficacy of FAIMS / electronic nose to detect diseases in experimental potato stores. Further optimise volatile fingerprint detection. g) Determine the efficacy of FAIMS / electronic nose to detect diseases in commercial potato stores."	"146"	"Clarkson, John"	"-1"	"-1"	"University of Warwick"
"R458"	"Storage at warmer temperatures: effect on skin finish and cost/benefit analysis"	"http://potatoes.ahdb.org.uk//publications/r458-warmer-cold-storage"	"2011"	"2014"	"Aim: To understand the potential to increase the temperature at which potatoes for the fresh market are stored. Industry Challenge Storage of potatoes for the fresh market is carried out at low temperatures, typically in the range 2 to 3.5°C. A storage temperature in this range is selected in order to maintain the appearance of crops, with conditions restricting the development of skin blemishing diseases, maintaining bloom and limiting weight loss. The maintenance of a low storage temperature however adds to the costs of storage and induces sweetening. As well as affecting flavour and texture, sugar formation in combination with amino acids, results in relatively high acrylamide levels when certain preparation methods are employed. Collaboration SBCSR Approach Objectives: a) To evaluate the effect of storage temperatures on the components of skin finish e.g. skin bloom and blemish disease (black dot, silver scurf, skin spot). b) To evaluate the effect of storage temperatures on other quality criteria known to be influenced by temperature e.g. respiration rate, sprouting, weight loss and sweetening. c) To determine the cost/benefit of temperature variation. d) To indicate what factors of skin finish limit storage temperature increase, which may require further research.   Reports"	"146"	"Briddon, Adrian"	"-1"	"-1"	"SBCSR"
"R457"	"Improved store management of diseases affecting seed tubers and its effects on the subsequent crop"	"http://potatoes.ahdb.org.uk//publications/r457-seed-pathology-and-storage"	"2011"	"2012"	"Aim: To increase seed tuber health through improved management in store of diseases including Phoma, Fusarium and Helminthosporium species. Industry Challenge There are numerous pathogens which damage potato seed health, with significant economic and agronomic consequences. Seed disease impacts greatly on potential markets whereas an established reputation for healthy seed enables new business opportunities to be exploited. Collaboration SBCSR, CUF, FERA Approach Manipulation of storage conditions provides an opportunity to prevent multiplication or even reduce inoculum loading of both fungal and bacterial pathogens. The threshold inoculum loading on seed tubers required to induce disease in the field, and the contribution of seed storage conditions to disease risk in the subsequent crop, is understood for some pathogens but requires determination for other important pathogens. Objectives: a) Quantify the effect of varied storage management of seed potatoes on pathogen populations. b) Quantify the effects of varied storage management on the subsequent crop health. c) Establish a storage-field cycle baseline against which other or new threats, or changes to practice, can be compared experimentally. d) Compare varied storage management and subsequent crop performance with commercial practice. e) Determine effective integrated control strategies for maintaining good seed tuber health during storage.   Reports  "	"146"	"Harper, Glyn"	"-1"	"-1"	"SBCSR"
"R284"	"Evaluating the efficacy of a screen humidity cell in filtering pathogens and other particulates out of air in potato stores"	"http://potatoes.ahdb.org.uk//publications/r284-humidifier-assessment"	"2006"	"2006"	"Aim: To assess any effects of humidifier cells on levels of pathogens, development of disease, and other particulates in air in potato stores. Evaporative media humidifiers which pass air through a water laden membrane producing air saturated with water vapour. This process potentially provides a filtering effect and the purpose of this work was to examine to what extent an evaporative media humidifier (Munters Humimax HM2 4000) filtered out fungal spores and bacteria from air in potato stores. The work involved a comparison of the Munters HM2 4000 and an ultrasonic nozzle humidifier and the number of fungi and bacteria in store air were determined by counting the number of colonies that grew on dishes containing a growth medium. The amount of fungal contamination in the recirculating air was the same irrespective of whether the Munters HM2 4000 or an ultrasonic nozzle humidifier had been in operation. The amount of bacterial contamination in the recirculating air was much higher in the store where an ultrasonic nozzle humdifer had been in operation compared with a store with the Munters HM2 4000. It is likely that the atomised water itself was the source of the contamination. Reports and Key Words"	"146"	"Peters, Jeff"	"-1"	"-1"	"SBCSR"
"R284"	"Evaluating the efficacy of a screen humidity cell in filtering pathogens and other particulates out of air in potato stores"	"http://potatoes.ahdb.org.uk//publications/r284-humidifier-assessment"	"2006"	"2006"	"Aim: To assess any effects of humidifier cells on levels of pathogens, development of disease, and other particulates in air in potato stores. Evaporative media humidifiers which pass air through a water laden membrane producing air saturated with water vapour. This process potentially provides a filtering effect and the purpose of this work was to examine to what extent an evaporative media humidifier (Munters Humimax HM2 4000) filtered out fungal spores and bacteria from air in potato stores. The work involved a comparison of the Munters HM2 4000 and an ultrasonic nozzle humidifier and the number of fungi and bacteria in store air were determined by counting the number of colonies that grew on dishes containing a growth medium. The amount of fungal contamination in the recirculating air was the same irrespective of whether the Munters HM2 4000 or an ultrasonic nozzle humidifier had been in operation. The amount of bacterial contamination in the recirculating air was much higher in the store where an ultrasonic nozzle humdifer had been in operation compared with a store with the Munters HM2 4000. It is likely that the atomised water itself was the source of the contamination. Reports and Key Words"	"146"	"Peters, Jeff"	"-1"	"-1"	"Crop Systems Ltd"
"807/200"	"Improving potato seed health using molecular diagnostics to help sustain future competitiveness of the UK potato industry"	"http://potatoes.ahdb.org.uk//publications/807200-healthier-seed-improved-ware-quality-link"	"1999"	"2003"	"Aim: To enhance the health of UK seed potatoes by developing PCR diagnostic tools to monitor the incidence of fungal storage rot pathogens on potato stocks. This involved the development of diagnostics for four diseases, namely dry rot (Fusarium spp.), gangrene (Phoma foveata), watery wound rot (Pythium ultimum), and pink rot (Phytophthora erythroseptica). The work was undertaken by the James Hutton Institute (formerly SCRI), in collaboration with the Central Science Laboratory and Higgins Agriculture Ltd, with industry funding provided by the AHDB Potatoes and Higgins Agriculture Ltd. The diagnostic tools were used to study the relationship between tuber contamination by Fusarium spp. and disease development during storage, the relationship between field infestation and tuber contamination, and the effects of fungicide treatment on tuber contamination. Reports"	"146"	"Toth, Ian"	"-1"	"-1"	"James Hutton Institute (JHI) (formerly SCRI)"
"807/223"	"Regional variation among Fusarium spp. causing dry rot of potatoes"	"http://potatoes.ahdb.org.uk//publications/807223-fusarium-regional-variation-dry-rot"	"2001"	"2004"	"Aim: To establish the incidence of the different Fusarium species and the variability between regions. Dry rot is the most important fungal rot of stored potatoes in the UK. At the moment, control is focused on the fungus, Fusarium coeruleum, as this species has been historically most commonly associated with the disease. However, a number of Fusarium spp. found in the UK including F. avenaceum, F. culmorum and F. sambucinum can also cause dry rot. This project was conducted by Sutton Bridge Crop Storage Research (SBCSR) and the James Hutton Institute (JHI) formerly SCRI. The findings combined with data on the susceptibility of cultivars to dry rot and the effect of fungicides on the different Fusarium spp., has been used to develop control recommendations for the disease. Reports"	"146"	"Cunnington, Adrian"	"-1"	"-1"	"SBCSR"
"807/213"	"A study to develop alternative strategies for the control of potato blight in organically grown crops"	"http://potatoes.ahdb.org.uk//publications/807213-blight-control-organic-crops"	"2000"	"2005"	"Aim: To evaluate the options for the commercially viable production of organic potato crops without the use of copper fungicides. Compared to conventional production, yields in organic potato production are estimated to be 30-40% lower, even when copper is used to delay blight development in crops. Copper fungicides are estimated to extend the growing period by 2-4 weeks. This is estimated to result in 10-40% higher yields compared to crops not protected with copper.  The project included: A review current blight control strategies and their effectiveness An evaluation of plant, seaweed and humic extracts for blight control An evaluation of the effectiveness of combining novel disease control strategies with existing agronomic methods No commercially viable alternative treatments for copper fungicides, that would be acceptable under organic farming standards were identified."	"146"	"Leifert, Carlo"	"-1"	"-1"	"University of Newcastle upon Tyne"
"R448"	"Common Scab Control"	"http://potatoes.ahdb.org.uk//publications/r448-common-scab-control"	""	""	"Common scab symptoms are caused by streptomycetes. These are members of a large grouping of bacteria known as actinobacteria (sometimes also referred to as actinomycetes). The streptomycetes are probably some of the most well-known and well-studied actinobacteria, because they produce compounds that are used in human medicine. Streptomycetes are ubiquitous in soil, sediments and seawater and there is increasing evidence to show that they form associations with other organisms such as insects (Seipke et al., 2012). A limited number of species of Streptomyces cause disease in plants. Those that are plant pathogenic colonize root structures and grow both inter- and intra-cellularly within the host (Loria et al., 2003 ) and produce phytotoxins and secondary compounds that affect the plant. The phytotoxin thaxtomin A is considered to be essential for scab symptoms to appear. An assay for the thaxtomin pathogenicity gene (txtA) has been developed and used to assess the numbers of pathogenic streptomycetes present in tuber peel. This has allowed comparison of their numbers on different potato varieties grown under the same conditions and studies of how numbers of pathogenic streptomycetes change in response to factors such as irrigation.  AHDB Potatoes supported the production of a review of common scab in 2004 and was the sole or joint funder for three research projects. Further details of R448 are provided below: R448 Common scab control - Reducing the irrigation water requirements and the effect of beneficial soil microorganisms and biofumigation (April 2011 - March 2014) The project has demonstrated varietal differences in common scab in response to irrigation regimes. Maris Piper was clearly much more susceptible to scab than the other varieties examined and there was considerable evidence that other, less-susceptible varieties can be irrigated for shorter periods or at greater soil moisture deficitss than Maris Piper. A tentative grouping of varieties for common scab control using different soils and irrigation schedules has been produced. The potential to delay the start of irrigation until one week after tuber initiation is discussed. Results from experiments examining the correct length of control period for salad potatoes, gave no indication that irrigation for 8 weeks was more successful in preventing scab than irrigating for 6 weeks. Trials to assess the effects of the cloddiness of the ridge structure at planting demonstrated little effect on common scab incidence and severity and that irrigation regime was the over-riding factor in determining the level of control of scab.  Aggregate size distribution may have less effect on scab development than previously thought. A substantial amount of new information on the microbial communities on tubers from different sites and seasons has been obtained. Controlled environment studies have shown that in the absence of microorganisms other than the scab pathogen, irrigation level alone was shown to have no effect on populations of pathogenic Streptomyces or on development of disease, indicating that an intact soil microflora is required to mediate control by irrigation.  However, across the tuber samples there was no clear correlation between particular microbial groups and a reduction in scab severity. As such, it has not been possible to identify any potential antagonists of pathogenic Streptomyces that warrant further study. Information on the detrimental effects of overwatering (during tuber initiation and the scab control phase) in relation to tuber cracking and nitrogen uptake is provided."	"146"	"Stalham, Mark"	"-1"	"-1"	"CUF"
"R448"	"Common Scab Control"	"http://potatoes.ahdb.org.uk//publications/r448-common-scab-control"	""	""	"Common scab symptoms are caused by streptomycetes. These are members of a large grouping of bacteria known as actinobacteria (sometimes also referred to as actinomycetes). The streptomycetes are probably some of the most well-known and well-studied actinobacteria, because they produce compounds that are used in human medicine. Streptomycetes are ubiquitous in soil, sediments and seawater and there is increasing evidence to show that they form associations with other organisms such as insects (Seipke et al., 2012). A limited number of species of Streptomyces cause disease in plants. Those that are plant pathogenic colonize root structures and grow both inter- and intra-cellularly within the host (Loria et al., 2003 ) and produce phytotoxins and secondary compounds that affect the plant. The phytotoxin thaxtomin A is considered to be essential for scab symptoms to appear. An assay for the thaxtomin pathogenicity gene (txtA) has been developed and used to assess the numbers of pathogenic streptomycetes present in tuber peel. This has allowed comparison of their numbers on different potato varieties grown under the same conditions and studies of how numbers of pathogenic streptomycetes change in response to factors such as irrigation.  AHDB Potatoes supported the production of a review of common scab in 2004 and was the sole or joint funder for three research projects. Further details of R448 are provided below: R448 Common scab control - Reducing the irrigation water requirements and the effect of beneficial soil microorganisms and biofumigation (April 2011 - March 2014) The project has demonstrated varietal differences in common scab in response to irrigation regimes. Maris Piper was clearly much more susceptible to scab than the other varieties examined and there was considerable evidence that other, less-susceptible varieties can be irrigated for shorter periods or at greater soil moisture deficitss than Maris Piper. A tentative grouping of varieties for common scab control using different soils and irrigation schedules has been produced. The potential to delay the start of irrigation until one week after tuber initiation is discussed. Results from experiments examining the correct length of control period for salad potatoes, gave no indication that irrigation for 8 weeks was more successful in preventing scab than irrigating for 6 weeks. Trials to assess the effects of the cloddiness of the ridge structure at planting demonstrated little effect on common scab incidence and severity and that irrigation regime was the over-riding factor in determining the level of control of scab.  Aggregate size distribution may have less effect on scab development than previously thought. A substantial amount of new information on the microbial communities on tubers from different sites and seasons has been obtained. Controlled environment studies have shown that in the absence of microorganisms other than the scab pathogen, irrigation level alone was shown to have no effect on populations of pathogenic Streptomyces or on development of disease, indicating that an intact soil microflora is required to mediate control by irrigation.  However, across the tuber samples there was no clear correlation between particular microbial groups and a reduction in scab severity. As such, it has not been possible to identify any potential antagonists of pathogenic Streptomyces that warrant further study. Information on the detrimental effects of overwatering (during tuber initiation and the scab control phase) in relation to tuber cracking and nitrogen uptake is provided."	"146"	"Stalham, Mark"	"-1"	"-1"	"FERA"
