"project__PROJECT_NUMBER"	"project__PROJECT_TITLE"	"project__source_url"	"project__PROJECT_START_DATE"	"project__PROJECT_END_DATE"	"project__PROJECT_OBJECTIVE"	"agency_index__aid"	"investigator_data__name"	"investigator_index__inv_id"	"institution_index__inst_id"	"institution_data__INSTITUTION_NAME"
"2130001105"	"Fusarium risk reporting – based on real-time data collection"	"http://cereals.ahdb.org.uk/publications/2015/september/25/fusarium-risk-reporting-–-based-on-real-time-data-collection.aspx"	"2015"	"2017"	"The challenge The wheat supply chain has raised some concerns about the reliability of farmer mycotoxin risk assessments submitted with grain consignments. There is now an opportunity to provide an early indication of regional fusarium risks within the season that can be used by farmers during the completion of their risk assessments to improve accuracy, and by the supply chain, to get a better understanding of regional in-season risks. The project The overall aim is to improve the information available on fusarium infection risk during flowering to raise awareness amongst farmers of mycotoxin risks, to aid accurate completion of mycotoxin risk assessments and increase reliability of information, and to give an early indication of season regional mycotoxin risks for the supply industry. This would be achieved through: 1. Monitoring and reporting – Run weekly fusarium infection risk monitoring from ear emergence (mid-May) to end of flowering (early July) covering 30 counties in GB and provide six reports on fusarium infection risk in each year. 2. Validation – Undertake targeted harvest mycotoxin DON test results to compare to monitoring. 3. Develop methodology and pilot use of early season mycotoxin testing (between flowering and harvest). The benefits The project would provide more accurate level of information around the fusarium infection risk at flowering. Weekly reporting will aim to raise farmer’s awareness of the local fusarium infection risk, and subsequent concerns of mycotoxin. This would allow farmers will take action to minimise the mycotoxin risks in their grain, e.g. through timely ear wash applications, or through segregation and appropriate marketing of high risk crops. The early indication of fusarium infection risk should provide the industry with an early warning of mycotoxin hot spots that may need greater focus on testing if grain is purchased from those regions. View a printer friendly version of this publication"	"146"	""	"-1"	"-1"	"ADAS"
"2140002105"	"Evaluation of resistance levels to verticillium wilt in UK oilseed rape varieties and relevance to productivity"	"http://cereals.ahdb.org.uk/publications/2015/october/15/evaluation-of-resistance-levels-to-verticillium-wilt-in-uk-oilseed-rape-varieties-and-relevance-to-productivity.aspx"	"2015"	"2018"	"The challenge Verticillium wilt in oilseed rape, caused by the fungus Verticillium longisporum, has become increasingly prevalent in oilseed rape crops since initial confirmation of the disease in the UK in 2007. Control is difficult, however, as the fungus produces numerous microsclerotia in affected stems as the crop matures. The microsclerotia become incorporated in soil, creating a long term inoculum source, and the fungus may also contaminate seed externally. There are currently no available agrochemical control options, and extending oilseed rape rotations to reduce the impact of the disease is a long term strategy. Variation in the level of symptom expression in oilseed rape varieties has been reported from several trials, indicating that partial resistance to the disease exists in elite material. The project This project aims to develop an inoculated test protocol, coupled with variety screens on heavily and uniformly infected land, to test for consistent differences between Recommended Lists (RL) varieties with the aim of producing 1 to 9 verticillium wilt resistance ratings for the RL. This proposal will also investigate the relative effects of verticillium wilt on the yield of putative partially resistant and more susceptible varieties, by means of high and low disease pressure blocks created by soil inoculation. Outcomes will aid growers in the practical interpretation of resistance ratings and define more precisely the effects of verticillium wilt on oilseed rape productivity over sites and seasons. The benefits Independent data on varietal tolerance to verticillium wilt will be provided as well as robust information on the level of yield loss which might be expected on infested land. Growers will be able to select varieties according to their verticillium risk using 1 to 9 rantings. If land is known to be infected, more resistant types could be selected to avoid potential yield losses. View a printer friendly version of this publication"	"146"	"Thomas, Jane"	"-1"	"-1"	"NIAB"
"2140022105"	"Arable crop disease alert system"	"http://cereals.ahdb.org.uk/publications/2015/march/23/arable-crop-disease-alert-system.aspx"	"2015"	"2018"	"The challenge In the UK, arable crops suffer 15% yield loss to diseases caused by airborne spores. Farmers protect key leaves with fungicides but sporadic diseases (e.g. Sclerotinia and Fusarium) infect at other growth stages. This leaves crops susceptible to disease or can lead to fungicides being applied unnecessarily. A third disease, septoria leaf blotch ( Zymoseptoria tritici or Mycosphaerella graminicola ), also has a sporadic late phase of infection caused by airborne ascospores which can infect the flag leaf of wheat when an earlier fungicide spray has degraded. A reliable forecast is needed to alert farmers of imminent risk of these diseases in time for action. Current conventional air samplers can detect the presence of specific spores in the air; however, these samplers require tedious and time-consuming lab-based processing which delays the communication of disease risk. The project The project aims to produce an automated air sampling device, which will be able to use a DNA-based method to rapidly detect key pathogens, or genetic traits such as fungicide resistance, and text the result, along with weather data to a web-based information portal, which will be accessible to growers. The devices have the potential to be operated as a network with IT systems augmenting currently available infection models with the information on airborne spore presence to produce a disease risk alert in time for application of crop protection products. Two automated air samplers will be developed during the project which will operate in a network of conventional air-samplers. Methods will be developed to rapidly detect and quantify sclerotinia, fusarium and M. graminicola spores both by the automated air sampler and on tapes collected from the conventional samplers. In-season results and disease alerts will be made available on cereals.ahdb.org.uk/monitoring . Air samplers will be placed on field sites located in Hertfordshire, Lincolnshire, Devon, Herefordshire and North Yorkshire.   The benefits The methodologies and technology developed through this project have huge potential to improve the use of spore detection in crop protection. Real-time information on the presence or absence of spores in the air will allow fungicide applications to be better targeted, which will both reduce yield losses caused by disease and also reduce unnecessary spray applications. Spore release information will enhance and improve the robustness of existing weather based disease forecast models. There is further potential for this technology e.g. through the inclusion of appropriate test reagents to assess these genetic traits such as fungicide resistance. View a printer friendly version of this publication"	"146"	"West, Jon"	"-1"	"-1"	"Rothamsted Research"
"2140003105"	"Combining agronomy, variety and chemistry to maintain control of septoria tritici in wheat"	"http://cereals.ahdb.org.uk/publications/2016/january/05/combining-agronomy,-variety-and-chemistry-to-maintain-control-of-septoria-tritici-in-wheat.aspx"	"2015"	"2019"	"The challenge Management of septoria in wheat currently relies heavily on control with fungicides, in particular the azoles (DMIs) and the Succinate Dehydrogenase Inhibitors (SDHIs). There are significant declines in sensitivity to the former group and the latter group is classed as being at moderate or high risk of resistance occurring. In addition, recent years have seen reduced control of septoria on farm despite large spend on fungicides. Alternative, integrated management methods are required to improve control and slow development of resistance. The project This project will directly compare the value of cultural control measures as part of a disease management programme, specifically sowing date and disease-resistant varieties. It will evaluate their ability to reduce the intensity of fungicide required, whilst minimising yield losses to septoria and maximising profit. This will be quantified in terms of yield, disease control and margin over fungicide cost to provide information on how current strategies could be altered and the resulting effect on crop profitability. In the event of further resistance development to current fungicides or the loss of actives through legislation, this research will inform stewardship and mitigation options using cultural options along with remaining chemistry, to minimise the impact on crop production and profitability. Where growers already employ cultural control methods (for example where they are sowing later or using less susceptible varieties), this research will provide clear guidance on scope to adjust fungicide strategies. The benefits This will benefit growers and agronomists by: 1. Identifying and quantifying the impact of key agronomic factors that can reduce the risk of yield loss to septoria 2. Improved prioritisation of fungicide strategies in the spring, based on risk 3. Optimising the order of planting varieties to reduce disease risk where varieties with a range of different susceptibilities are planned (accounting for other agronomic factors such as developmental speed and lodging risk). Growers will benefit by being able to maximise the benefits that accrue from agronomic modifiers of septoria risk, enabling them to make strategic decisions on which crops will benefit from intensive or reduced fungicide inputs. This will minimise yield losses to septoria in a way that maximises the cost effectiveness of fungicide programmes. In addition, growers will benefit from having robust information on the extent to which cultural control strategies can ameliorate the impact of future loss of fungicides, resulting from either further development of resistance or legislative impacts. View a printer friendly version of this publication"	"146"	"Blake, Jonathan"	"-1"	"-1"	"ADAS"
"2140023105"	"Using field pathogenomics to study wheat yellow rust dispersal and population dynamics at a national and international scale"	"http://cereals.ahdb.org.uk/publications/2015/september/10/using-field-pathogenomics-to-study-wheat-yellow-rust-dispersal-and-population-dynamics-at-a-national-and-international-scale.aspx"	"2015"	"2018"	"The challenge Wheat yellow rust is a substantial threat to wheat production in the UK. Over recent years, a series of yellow rust races, including the Warrior race, have arisen in Europe and overcome some of the major resistance genes in elite germplasm. Despite the success of the United Kingdom Cereal Pathogen Virulence Survey (UKCPVS) and our understanding of the phenotypic diversity of yellow rust, little is known about its genetic diversity. To address this, a novel approach called “field pathogenomics” for pathogen population surveillance has recently been developed by The Genome Analysis Centre. This method, based on new gene sequencing technology, allows data to be acquired directly from field samples of yellow rust-infected wheat. By implementing this approach it has been found that the yellow rust population across the UK underwent a major shift in recent years. The project The overall aim of this project is to apply gene-sequencing technology to the surveillance of yellow rust and undertake comprehensive global population genetic analyses of this important plant pathogen. Specific objectives: 1. Analyse the threat of potential exotic incursions of PST to the UK by mapping the global population structure. 2. Define associations between PST genotypes, pathotypes and host pedigrees (working with UKCPVS) 3. Characterise temporal and spatial dynamics of PST genotypes 4. Develop open-source tools to map PST population structure and relay this information to the wider community Within this large project, AHDB funds will be specifically used for the development of the genotyping platform. This platform will then be integrated into the United Kingdom Cereal Pathogen Virulence Survey (UKCPVS) at the completion of the project. The benefits Once established, the genotyping platform will provide UKCPVS with a cost-effective way to genotype isolates. In the long-term this will ensure the UKCPVS is more predictive and better fulfils its main objective of gaining an early indication of new races and predicting durability of wheat varieties. This will also place the UK at the forefront of the most progressive pathogen surveillance mechanisms. Farmers, breeders, agronomists and wheat variety testing authorities will benefit from the rapid means of confirming whether previously resistant wheat varieties have been broken by virulent races of the pathogen. View a printer friendly version of this publication"	"146"	"Saunders, Diane G.O."	"-1"	"-1"	"The Genome Analysis Centre"
"1100005"	"Sustainable Agriculture Research and Innovation Club (SARIC)"	"http://cereals.ahdb.org.uk/publications/2016/march/07/sustainable-agriculture-research-and-innovation-club-(saric).aspx"	"2014"	"2019"	"The challenge A rising global population combined with global climate change, the potential spread of newly emerging diseases of livestock and crops, and the volatility of oil prices threaten global food security. The Sustainable Agriculture Research and Innovation Club (SARIC) is a joint BBSRC and NERC initiative to support innovative projects that will provide solutions to key challenges affecting the efficiency, productivity and sustainability of the UK crop and livestock sectors. The project The agricultural industry has a significant impact upon the UK’s economy and environment. The industry has around 150,000 businesses in the UK, which is 6% of the total, and employs 660,000 people. The sector contributes £9.9 billion to UK GDP through production of both livestock and crops. In 2014 the Utilised Agricultural Area was 17.2M hectares, which is 71% of land in the UK. SARIC was created as a public-private partnership that will enhance the efficiency, productivity and sustainability of our agricultural systems. The club will enable the UK research base to contribute to the substantial innovation opportunities connected with the sustainable intensification of agriculture. Over five years SARIC will invest in activities in the research base that translate existing knowledge and generate new insights to benefit the UK. The activities will bring together multidisciplinary teams in novel collaborations with expertise from the biological, environmental, economic and social sciences. The benefits BBSRC, NERC and ESRC have a strong record in managing collaborative research programmes, including the Research Innovation Club mechanism. Companies report a range of significant benefits from their engagement with the Research Councils: • Capacity to influence research in important strategic areas • Knowledge on the progress of relevant research projects and early access to results • Opportunity to work with leading researchers and to build strong relationships with them • Opportunity to identify the best potential industry recruits • Guidance on other Research Council activities and funding opportunities • Promotion of companies through relevant activities, objectives and outputs View a printer friendly version of this publication"	"146"	""	"-1"	"-1"	"BBSRC"
"2140027105"	"Developing sustainable management methods for clubroot"	"http://cereals.ahdb.org.uk/publications/2015/october/06/developing-sustainable-management-methods-for-clubroot.aspx"	"2015"	"2019"	"The challenge Clubroot is the most intractable and damaging problem affecting oilseed rape in the UK, causing significant, or even complete, crop losses when present. The pathogen responsible (Plasmodiophora brassicae) can persist in soils for up to 20 years, so cannot be managed practically through extending normal arable rotations. Varietal resistance remains the most effective method of clubroot control but the resistance source is not effective against all pathotypes of the disease and ‘resistance breaking strains’ have become more prevalent. Soil treatments with lime, calcium or boron give partial control, but strategies such as raising field pH to over 7.5 are not practical over whole fields in the context of arable rotations, as other crops within the rotation might be severely compromised. Targeted treatment of affected patches offers a potential approach and will be more cost effective than treating whole fields. The project The project aims to develop cost-effective treatment of clubroot through an understanding of the prevalence of resistance breaking strains of P. brassicae present in the UK and by targeting the use of resistant varieties and soil treatments to regions and field patches where they are needed and likely to be effective. A second aim is to increase the impact of the research and add value through knowledge exchange with stakeholders and scientists by holding regular stakeholder events. The benefits This project will develop more practical and economical methods of managing clubroot through an understanding of the prevalence of ‘resistance breaking strains’ present in the UK and through field mapping to establish the impact and spread of the disease in oilseed rape in order that available control strategies can be targeted to affected patches. This approach will improve production efficiency for the grower and extend the useful lifespan of available control strategies, as well providing breeders and researchers with UK relevant information on clubroot status and variability to improve and better target control of this disease. View a printer friendly version of this publication"	"146"	"Burnett, Fiona"	"-1"	"-1"	"SRUC"
"2140012101"	"Variable rate application of plant protection products – investigations to establish the feasibility and potential cost benefits (PhD)"	"http://cereals.ahdb.org.uk/publications/2016/january/05/variable-rate-application-of-plant-protection-products-–-investigations-to-establish-the-feasibility-and-potential-cost-benefits-(phd).aspx"	"2015"	"2020"	"The challenge Precision application of plant protection products (PPP) to arable crops has been discussed for many years as an important potential contributor to improving sustainability of production by reducing environmental impacts and maximising profitability. Variable rate application of PPP to cereal crops is technically feasible with currently-available commercial equipment. However, the agronomic rationale for variable doses for PPPs is not currently clear. The project This project aims to explore some of the fundamental mechanisms involved in determining the dose received by the plant, and how this is influenced by crop structure, and the extent to which this affects dose responses to PPPs. The main objective will be to identify if there are situations where adjusting the dose to achieve a constant dose per unit plant mass or surface area can optimise the use of PPPs, particularly fungicides or plant growth regulators. If this is the case, a cost-benefit analysis of different scenarios will be undertaken to enable future developments to focus on where the benefits will be greatest. The project will attempt to prove a central hypothesis, that to achieve optimum performance, doses of PPPs should be applied per gram of plant material for systemic, or per unit surface area for contactacting products. This will be done through four key work packages. 1. To review the state of the art in dose adjustment and optimisation for cereal crops, identify the situations (crop, pest, disease, product) where the hypothesis is most likely to be true and develop a model system (crop , PPP and application method) for use in the project.  2. To develop a model relating applied dose to actual dose for the model crop(s), for a ‘standard’ application method, using existing sensors and/or manual methods to characterise the crop. 3. To identify the circumstances for which the project hypothesis it is true, and develop algorithms for optimising dose for different crop characteristics for the model system. 4. Undertake a theoretical cost-benefit analysis for the model system. The benefits The outcomes of the project will be valuable in optimising applications of plant protection products, contributing to reducing the environmental impact and allowing products to remain available at a time when many active ingredients are at risk from failing the approval process. The project outcomes will also assist in identifying where growers can expect to see benefits from variable rate application technology in the future, and can support future investment decisions, leading to new developments in precision agriculture and sprayer control. It will also improve our understanding of the mechanisms that are important in delivering a dose of PPP to a plant and how they could be manipulated to optimise the application process. This could be of value to agrochemical manufacturers who wish to optimise the application of their products. View a printer friendly version of this publication"	"146"	"Waine, Toby"	"-1"	"-1"	"Cranfield University"
"214-0010"	"Exploitation of resistance genes from oilseed rape for control of light leaf spot (PhD)"	"http://cereals.ahdb.org.uk/publications/2014/october/10/exploitation-of-resistance-genes-from-oilseed-rape-for-control-of-light-leaf-spot-(phd).aspx"	"2014"	"2017"	"The challenge Light leaf spot, caused by Pyrenopeziza brassicae , is an increasingly damaging disease of oilseed rape ( Brassica napus ). Good control with fungicides is now difficult to achieve and greater use of cultivars with good resistance against the causal pathogen is essential to manage the disease. There is new evidence about resistance against light leaf spot in oilseed rape; a major resistance gene has been mapped to the bottom end of chromosome A1 in B. napus. Other sources of resistance have not been characterised genetically but rapid progress in mapping resistance genes against P. brassicae is expected as genome sequences of brassicas are now available. This information can be exploited to provide guidance for breeding cultivars with improved resistance. The project This project aims to exploit new information about resistance and genome sequences to improve control of light leaf spot in brassicas. Specific project objectives include: 1. To sequence a resistance gene against P. brassicae at the end of oilseed rape chromosome A1. 2. To use the sequence of the resistance gene to identify other resistance genes in commercial oilseed rape cultivars with good resistance against P. brassicae. 3. To use available segregating populations to map resistance genes and generate markers for marker assisted selection in oilseed rape breeding programmes. The benefits This project will provide new information to improve brassica resistance against the light leaf spot pathogen to increase yields of oilseed rape, whilst decreasing production costs through reduced fungicide use. View a printer friendly version of this publication"	"146"	""	"-1"	"-1"	"University of Hertfordshire"
"2140020105"	"Sclerotinia risk live-reporting system for oilseed rape"	"http://cereals.ahdb.org.uk/publications/2015/march/27/sclerotinia-risk-live-reporting-system-for-oilseed-rape.aspx"	"2015"	"2018"	"The challenge Sclerotinia disease, caused by the fungus Sclerotinia sclerotiorum , occurs every year at low levels, but with sporadic serious and economically damaging outbreaks in some years which are difficult to anticipate. It is important to obtain consistently effective control; otherwise even low level disease contributes to the build-up of long-lived inoculum in the soil. Airborne spores result in plant infection when flowering has started and weather conditions are conducive. Foliar fungicide treatments must be applied to prevent infection, before disease symptoms are visible. However, the timing of foliar fungicide applications to prevent infection can be difficult because the period when the crop is at risk of infection is longer than the period of fungicide protection. Results from a recent research project (LK09130, HGCA 3570) showed that a simple weather-based infection model, using temperature and relative humidity forecasts up to 48 hours ahead, could help to plan and target spray applications. Inclusion of other sclerotinia infection risk factors was also helpful, for example, crop flowering stage, rainfall intensity and spore inoculum estimates. This reflects the complex infection process for S. sclerotiorum in oilseed rape which requires simultaneous occurrence of inoculum, suitable weather conditions and flowering stage. Work is needed to bring together the risk factors and forecasting in a simple format for growers and agronomists to use. The project The overall aim of this project is to provide a sclerotinia disease risk reporting system, to help guide fungicide timing, improve control of sclerotinia, and therefore reduce crop losses. This will be achieved by providing forecast alerts and reports of risk factors for sclerotinia infection to growers during the oilseed rape flowering phase. This is to guide the timing of the first fungicide application needed during flowering, and when or if a subsequent application is necessary. This will be done as a ‘live’ reporting system by generating weekly reports which will deliver both forecasting model predictions and information on other disease risk factors based on crop observations (e.g. are there petals sticking to leaves?) and quantification of airborne inoculum, as well as an overall assessment of sclerotinia disease risk. This is different from previous schemes which have only evaluated specific models or risk factors in isolation. The reports will present the data in appropriate simple tables and charts, and interpretation of the in-field and regional results will be provided. Reports will be published on cereals.ahdb.org.uk/monitoring . Work will also be done to demonstrate that the forecasting and risk evaluation scheme provides improved control of sclerotinia and gives an economic benefit. The benefits The main benefit of the project will be to inform the timing of fungicide applications to give maximum protection against sclerotinia infection. This will result in a reduction of yield losses caused by the disease. In some cases, the impact will also be to enable an informed decision on a second spray, e.g. to justify inclusion or omission of a second spray, or to adjust its timing. If robust control can be obtained with one spray rather than two, this will reduce costs and also minimise the development of fungicide resistance and therefore prolong the availability of effective fungicides. View printer friendly versions of these publications"	"146"	"Young, Caroline"	"-1"	"-1"	"ADAS"
